
0  , 5   , 0    , 3.49 , 1762  , 147  , 384.3 , 16.6 , 26.1   , 2.2   , 0.072 , 0.0391 , 0.0843 , 0.0451 , 5.19 , 3              , 145 , 3.9 
5  , 10  , 3.49 , 4.93 , 1380  , 113  , 331.2 , 17.7 , 20.4   , 1.7   , 0.112 , 0.0575 , 0.112 , 0.0585 , 4.89 , 2.85        , 136 , 7.48
10 , 15  , 4.93 , 6.04 , 1088  , 93.4 , 283   , 16.8 , 16.1   , 1.4   , 0.158 , 0.073 , 0.134 , 0.0697 , 4.6 , 2.71          , 122 , 8.42
15 , 20  , 6.04 , 6.98 , 855.3 , 80.8 , 240.9 , 16   , 12.7   , 1.2   , 0.202 , 0.086 , 0.154 , 0.0797 , 4.32 , 2.57        , 108 , 8.19
20 , 25  , 6.98 , 7.8  , 667.6 , 71.6 , 204   , 15.3 , 9.88   , 1.1   , 0.243 , 0.0977 , 0.173 , 0.0895 , 4.06 , 2.45        , 95.3 , 7.95
25 , 30  , 7.8  , 8.55 , 515.7 , 63.9 , 171.6 , 14.7 , 7.63   , 0.95  , 0.282 , 0.109 , 0.192 , 0.0992 , 3.81 , 2.33      , 84.2 , 7.73
30 , 35  , 8.55 , 9.23 , 392.9 , 57   , 143.2 , 14.1 , 5.81   , 0.84  , 0.318 , 0.12 , 0.212 , 0.109 , 3.57 , 2.21         , 74.1 , 7.52
35 , 40  , 9.23 , 9.87 , 294.5 , 50   , 118.3 , 13.6 , 4.36   , 0.74  , 0.352 , 0.131 , 0.234 , 0.119 , 3.33 , 2.1         , 64.8 , 7.34
40 , 45  , 9.87 , 10.5 , 216.4 , 43.3 , 96.49 , 13   , 3.2    , 0.64  , 0.385 , 0.142 , 0.257 , 0.129 , 3.1 , 1.99          , 56.4 , 7.15
45 , 50  , 10.5 , 11   , 155.5 , 36.6 , 77.48 , 12.4 , 2.3    , 0.54  , 0.418 , 0.154 , 0.281 , 0.139 , 2.88 , 1.89         , 48.6 , 6.99
50 , 55  , 11   , 11.6 , 109.2 , 30.2 , 61.19 , 11.7 , 1.62   , 0.45  , 0.45  , 0.166 , 0.307 , 0.15 , 2.65 , 1.79          , 41.3 , 6.84
55 , 60  , 11.6 , 12.1 , 74.73 , 24.3 , 47.31 , 10.9 , 1.11   , 0.36  , 0.484 , 0.177 , 0.335 , 0.159 , 2.42 , 1.68      , 34.6 , 6.67
60 , 65  , 12.1 , 12.6 , 49.88 , 19.1 , 35.74 , 9.96 , 0.738  , 0.28  , 0.52  , 0.189 , 0.362 , 0.169 , 2.2 , 1.58       , 28.3 , 6.5
65 , 70  , 12.6 , 13.1 , 32.38 , 14.7 , 26.26 , 8.95 , 0.479  , 0.22  , 0.557 , 0.2 , 0.385 , 0.179 , 1.96 , 1.45       , 22.6 , 6.3
70 , 75  , 13.1 , 13.5 , 20.54 , 11.1 , 18.75 , 7.79 , 0.304  , 0.16  , 0.596 , 0.209 , 0.402 , 0.19 , 1.72 , 1.31      , 17.6 , 6.02
75 , 80  , 13.5 , 14   , 12.85 , 8.16 , 13.09 , 6.55 , 0.19   , 0.12  , 0.634 , 0.219 , 0.409 , 0.209 , 1.49 , 1.14        , 13.2 , 5.48
80 , 85  , 14   , 14.4 , 8.006 , 5.82 , 9.038 , 5.22 , 0.118  , 0.086 , 0.672 , 0.232 , 0.407 , 0.239 , 1.28 , 0.963     , 9.81 , 4.69
85 , 90  , 14.4 , 14.9 , 5.084 , 4.08 , 6.304 , 3.98 , 0.0752 , 0.06  , 0.715 , 0.245 , 0.39 , 0.277 , 1.12 , 0.784    , 7.32 , 3.76
90 , 95  , 14.9 , 15.6 , 3.27  , 2.77 , 4.452 , 2.86 , 0.0484 , 0.041 , 0.766 , 0.254 , 0.349 , 0.313 , 0.993 , 0.608  , 5.51 , 2.76 
95 , 100 , 15.6 , 20   , 2.035 , 1.72 , 3.103 , 1.8  , 0.0301 , 0.025 , 0.844 , 0.241 , 0.255 , 0.328 , 0.889 , 0.428   , 4.13 , 1.69

