#: table_doi: 10.17182/hepdata.86210.v1/t2
#: name: Table 2
#: description: Transverse momentum spectra of charged particles in PbPb collisions in nine centrality classes.
#: data_file: Fig3_PbPb_5020GeV.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: CENT,,,0-5 pct
#: ETARAP,,,-0.8 - 0.8
#: RE,,,PB PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,2208.108,0.6016,-0.6016,117.0,-117.0
0.225,0.2,0.25,2401.189,0.38151,-0.38151,97.67,-97.67
0.275,0.25,0.3,2386.328,0.32561,-0.32561,84.412,-84.412
0.32499999999999996,0.3,0.35,2311.208,0.29186,-0.29186,53.282,-53.282
0.375,0.35,0.4,2189.519,0.26818,-0.26818,39.409,-39.409
0.42500000000000004,0.4,0.45,2043.339,0.24777,-0.24777,36.142,-36.142
0.475,0.45,0.5,1885.028,0.23544,-0.23544,33.129,-33.129
0.525,0.5,0.55,1730.077,0.22779,-0.22779,30.051,-30.051
0.575,0.55,0.6,1588.346,0.21972,-0.21972,26.346,-26.346
0.625,0.6,0.65,1451.662,0.21273,-0.21273,24.305,-24.305
0.675,0.65,0.7,1326.065,0.20762,-0.20762,21.41,-21.41
0.725,0.7,0.75,1211.984,0.20058,-0.20058,18.739,-18.739
0.775,0.75,0.8,1104.163,0.19484,-0.19484,16.673,-16.673
0.825,0.8,0.85,1007.705,0.18947,-0.18947,15.493,-15.493
0.875,0.85,0.9,918.793,0.18471,-0.18471,12.087,-12.087
0.925,0.9,0.95,837.546,0.17985,-0.17985,9.4739,-9.4739
0.975,0.95,1.0,762.45,0.17217,-0.17217,10.45,-10.45
1.05,1.0,1.1,663.256,0.11317,-0.11317,9.3304,-9.3304
1.15,1.1,1.2,550.882,0.1023,-0.1023,7.6462,-7.6462
1.25,1.2,1.3,453.772,0.079753,-0.079753,6.823,-6.823
1.35,1.3,1.4,382.346,0.070993,-0.070993,5.8607,-5.8607
1.45,1.4,1.5,314.989,0.065415,-0.065415,4.9981,-4.9981
1.55,1.5,1.6,263.654,0.058042,-0.058042,4.4884,-4.4884
