#: table_doi: 10.17182/hepdata.86210.v1/t3
#: name: Table 3
#: description: Transverse momentum spectra of charged particles in pPb collisions.
#: data_file: Fig3_pPb_5020GeV.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: D2N/DETARAP/DPT
#: keyword cmenergies: 5020
#: ETARAP,,,-0.3 - 1.3
#: RE,,,P PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,(1/(Nevt))*D2(N)/DETARAP/DPT [C/GEV],stat +,stat -,sys +,sys -
0.175,0.15,0.2,24.8264,0.0028625,-0.0028625,1.271,-1.271
0.225,0.2,0.25,25.6715,0.0020712,-0.0020712,0.75378,-0.75378
0.275,0.25,0.3,24.5478,0.0019698,-0.0019698,0.56285,-0.56285
0.32499999999999996,0.3,0.35,22.6218,0.0018561,-0.0018561,0.51869,-0.51869
0.375,0.35,0.4,20.5202,0.0017417,-0.0017417,0.51151,-0.51151
0.42500000000000004,0.4,0.45,18.5302,0.001642,-0.001642,0.48052,-0.48052
0.475,0.45,0.5,16.683,0.0015811,-0.0015811,0.43262,-0.43262
0.525,0.5,0.55,15.0036,0.0015418,-0.0015418,0.37545,-0.37545
0.575,0.55,0.6,13.4819,0.0014896,-0.0014896,0.31951,-0.31951
0.625,0.6,0.65,12.1208,0.0014433,-0.0014433,0.273,-0.273
0.675,0.65,0.7,10.9316,0.0014047,-0.0014047,0.23722,-0.23722
0.725,0.7,0.75,9.86578,0.0013555,-0.0013555,0.21201,-0.21201
0.775,0.75,0.8,8.92289,0.0013089,-0.0013089,0.18892,-0.18892
0.825,0.8,0.85,8.06027,0.0012608,-0.0012608,0.16932,-0.16932
0.875,0.85,0.9,7.30633,0.0012166,-0.0012166,0.15477,-0.15477
0.925,0.9,0.95,6.61428,0.0011701,-0.0011701,0.15113,-0.15113
0.975,0.95,1.0,6.00343,0.0011165,-0.0011165,0.11733,-0.11733
1.05,1.0,1.1,5.19552,0.00072896,-0.00072896,0.091175,-0.091175
1.15,1.1,1.2,4.30899,0.00065577,-0.00065577,0.072073,-0.072073
1.25,1.2,1.3,3.5794,0.00059199,-0.00059199,0.063813,-0.063813
1.35,1.3,1.4,2.98222,0.00053632,-0.00053632,0.054847,-0.054847
1.45,1.4,1.5,2.49543,0.00048865,-0.00048865,0.046719,-0.046719
1.55,1.5,1.6,2.0914,0.00044479,-0.00044479,0.039951,-0.039951
1.65,1.6,1.7,1.7549,0.00040557,-0.00040557,0.034946,-0.034946
1.75,1.7,1.8,1.47859,0.00037095,-0.00037095,0.029655,-0.029655
1.85,1.8,1.9,1.24485,0.00033902,-0.00033902,0.02593,-0.02593
1.95,1.9,2.0,1.05267,0.00031093,-0.00031093,0.022094,-0.022094
2.1,2.0,2.2,0.827018,0.00019454,-0.00019454,0.018006,-0.018006
2.3,2.2,2.4,0.599409,0.00016497,-0.00016497,0.013194,-0.013194
2.5,2.4,2.6,0.437646,0.00014045,-0.00014045,0.0097465,-0.0097465
