#: table_doi: 10.17182/hepdata.86210.v1/t5
#: name: Table 5
#: description: Ratio Data/MC
#: data_file: Fig4.yaml
#: keyword reactions: P P --> CHARGED X
#: keyword observables: DATA/MC
#: keyword cmenergies: 5020 and 2760
#: ETARAP,,,-0.8 - 0.8
#: RATIO,,,DATA/EPOS
#: RE,,,P P --> CHARGED X
#: SQRT(S),,,5020.0 GeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,DATA / MC,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.950673,0.00021265,-0.00021265,0.031011,-0.031011
0.225,0.2,0.25,0.910255,0.00014706,-0.00014706,0.022665,-0.022665
0.275,0.25,0.3,0.877748,0.00014362,-0.00014362,0.019141,-0.019141
0.32499999999999996,0.3,0.35,0.865611,0.00014564,-0.00014564,0.017747,-0.017747
0.375,0.35,0.4,0.863322,0.0001505,-0.0001505,0.015316,-0.015316
0.42500000000000004,0.4,0.45,0.867525,0.00015795,-0.00015795,0.014295,-0.014295
0.475,0.45,0.5,0.87093,0.00017025,-0.00017025,0.01441,-0.01441
0.525,0.5,0.55,0.877674,0.00018625,-0.00018625,0.014205,-0.014205
0.575,0.55,0.6,0.889476,0.00020227,-0.00020227,0.013093,-0.013093
0.625,0.6,0.65,0.900429,0.00022038,-0.00022038,0.012849,-0.012849
0.675,0.65,0.7,0.91245,0.00024061,-0.00024061,0.012423,-0.012423
0.725,0.7,0.75,0.924806,0.00026051,-0.00026051,0.012312,-0.012312
0.775,0.75,0.8,0.936888,0.00028173,-0.00028173,0.012929,-0.012929
0.825,0.8,0.85,0.949786,0.00030392,-0.00030392,0.013045,-0.013045
0.875,0.85,0.9,0.962031,0.0003272,-0.0003272,0.013437,-0.013437
0.925,0.9,0.95,0.974786,0.00035138,-0.00035138,0.014038,-0.014038
0.975,0.95,1.0,0.985561,0.00037396,-0.00037396,0.012556,-0.012556
1.05,1.0,1.1,1.002678,0.00028619,-0.00028619,0.012883,-0.012883
1.15,1.1,1.2,1.022411,0.00031685,-0.00031685,0.013573,-0.013573
1.2999999999999998,1.2,1.4,1.046026,0.00025647,-0.00025647,0.015264,-0.015264
1.5,1.4,1.6,1.076865,0.00031233,-0.00031233,0.018443,-0.018443
1.7000000000000002,1.6,1.8,1.102826,0.00037702,-0.00037702,0.021158,-0.021158
1.9,1.8,2.0,1.118235,0.00045216,-0.00045216,0.022812,-0.022812
2.1,2.0,2.2,1.11823,0.00054479,-0.00054479,0.023692,-0.023692
2.3,2.2,2.4,1.113797,0.00064404,-0.00064404,0.023606,-0.023606
2.5,2.4,2.6,1.103258,0.00075679,-0.00075679,0.02391,-0.02391
2.7,2.6,2.8,1.095762,0.00088345,-0.00088345,0.024075,-0.024075
2.9,2.8,3.0,1.085038,0.0010265,-0.0010265,0.02358,-0.02358
3.1,3.0,3.2,1.076278,0.0011857,-0.0011857,0.023715,-0.023715
3.4000000000000004,3.2,3.6,1.061864,0.0010159,-0.0010159,0.023168,-0.023168
3.8,3.6,4.0,1.053327,0.0013134,-0.0013134,0.022118,-0.022118
4.5,4.0,5.0,1.043691,0.0012195,-0.0012195,0.021607,-0.021607
5.5,5.0,6.0,1.020466,0.0020254,-0.0020254,0.018719,-0.018719
