#: table_doi: 10.17182/hepdata.86210.v1/t6
#: name: Table 6
#: description: Additional systematic error for pp data: +3.0 pct -3.0 pct
Additional systematic error for PBPB 0-5 pct data: +0.08 pct -0.08 pct
Additional systematic error for PBPB 5-10 pct data: +0.24 pct -0.24 pct
Additional systematic error for PBPB 10-20 pct data: +0.46 pct -0.46 pct
Additional systematic error for PBPB 20-30 pct data: +0.81 pct -0.81 pct
Additional systematic error for PBPB 30-40 pct data: +1.26 pct -1.26 pct
Additional systematic error for PBPB 40-50 pct data: +1.86 pct -1.86 pct
Additional systematic error for PBPB 50-60 pct data: +2.64 pct -2.64 pct
Additional systematic error for PBPB 60-70 pct data: +3.67 pct -3.67 pct
Additional systematic error for PBPB 70-80 pct data: +5.01 pct -5.01 pct.

#: data_file: Fig5.yaml
#: keyword reactions: P P --> CHARGED X : PB PB --> CHARGED X
#: keyword observables: SPECTRA RATIOS
#: keyword cmenergies: 5020 and 2760
#: CENT,,,-
#: ETARAP,,,-0.8 - 0.8
#: RE,,,P P --> CHARGED X
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RATIO OF SPECTRA (5020 GEV / 2760 GEV),stat +,stat -,sys +,sys -
0.175,0.15,0.2,1.206028,0.0005435,-0.0005435,0.084682,-0.084682
0.225,0.2,0.25,1.186364,0.000356,-0.000356,0.061759,-0.061759
0.275,0.25,0.3,1.165229,0.00033476,-0.00033476,0.054784,-0.054784
0.32499999999999996,0.3,0.35,1.160854,0.00033487,-0.00033487,0.053466,-0.053466
0.375,0.35,0.4,1.164699,0.00034585,-0.00034585,0.051493,-0.051493
0.42500000000000004,0.4,0.45,1.165812,0.00036212,-0.00036212,0.048977,-0.048977
0.475,0.45,0.5,1.169291,0.00039174,-0.00039174,0.048844,-0.048844
0.525,0.5,0.55,1.174804,0.00043136,-0.00043136,0.047224,-0.047224
0.575,0.55,0.6,1.184974,0.00047378,-0.00047378,0.047222,-0.047222
0.625,0.6,0.65,1.194564,0.00052183,-0.00052183,0.045514,-0.045514
0.675,0.65,0.7,1.19993,0.00057426,-0.00057426,0.044646,-0.044646
0.725,0.7,0.75,1.207948,0.00062728,-0.00062728,0.047,-0.047
0.775,0.75,0.8,1.213635,0.00068289,-0.00068289,0.047464,-0.047464
0.825,0.8,0.85,1.223431,0.0007448,-0.0007448,0.048253,-0.048253
