#: table_doi: 10.17182/hepdata.86210.v1/t9
#: name: Table 9
#: description: Additional systematic error for P-PB NSD data: +4.6 pct -4.6 pct.

#: data_file: Fig7_pPb_5020GeV.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: RPPB
#: keyword cmenergies: 5020
#: ETARAP,,,-0.3 - 1.3
#: RE,,,P PB --> CHARGED X
#: SQRT(S)/NUCLEON,,,5.02 TeV
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,RPPB,stat +,stat -,sys +,sys -
0.175,0.15,0.2,0.570706,0.00013519,-0.00013519,0.029217,-0.029217
0.225,0.2,0.25,0.552972,9.0268e-05,-9.0268e-05,0.016237,-0.016237
0.275,0.25,0.3,0.558346,8.9246e-05,-8.9246e-05,0.012802,-0.012802
0.32499999999999996,0.3,0.35,0.560753,9.0963e-05,-9.0963e-05,0.012858,-0.012858
0.375,0.35,0.4,0.565935,9.4777e-05,-9.4777e-05,0.014108,-0.014108
0.42500000000000004,0.4,0.45,0.576539,0.0001011,-0.0001011,0.014951,-0.014951
0.475,0.45,0.5,0.590596,0.00011147,-0.00011147,0.015315,-0.015315
0.525,0.5,0.55,0.606026,0.00012502,-0.00012502,0.015166,-0.015166
0.575,0.55,0.6,0.620092,0.00013868,-0.00013868,0.014696,-0.014696
0.625,0.6,0.65,0.635736,0.00015463,-0.00015463,0.01432,-0.01432
0.675,0.65,0.7,0.652216,0.00017289,-0.00017289,0.014154,-0.014154
0.725,0.7,0.75,0.668458,0.0001914,-0.0001914,0.014366,-0.014366
0.775,0.75,0.8,0.685484,0.00021175,-0.00021175,0.014514,-0.014514
0.825,0.8,0.85,0.69992,0.00023274,-0.00023274,0.014705,-0.014705
0.875,0.85,0.9,0.715754,0.00025571,-0.00025571,0.015163,-0.015163
0.925,0.9,0.95,0.728719,0.00027902,-0.00027902,0.016652,-0.016652
0.975,0.95,1.0,0.74398,0.00030235,-0.00030235,0.014543,-0.014543
1.05,1.0,1.1,0.762051,0.00023612,-0.00023612,0.013375,-0.013375
1.15,1.1,1.2,0.7895,0.00026941,-0.00026941,0.013207,-0.013207
1.2999999999999998,1.2,1.4,0.825717,0.00022703,-0.00022703,0.014955,-0.014955
1.5,1.4,1.6,0.869264,0.00028903,-0.00028903,0.016442,-0.016442
1.7000000000000002,1.6,1.8,0.906718,0.00036189,-0.00036189,0.018124,-0.018124
1.9,1.8,2.0,0.936315,0.00044633,-0.00044633,0.019581,-0.019581
2.1,2.0,2.2,0.969027,0.00055434,-0.00055434,0.021104,-0.021104
2.3,2.2,2.4,0.993019,0.0006702,-0.0006702,0.021867,-0.021867
2.5,2.4,2.6,1.01433,0.0008033,-0.0008033,0.022601,-0.022601
2.7,2.6,2.8,1.025548,0.00094717,-0.00094717,0.022859,-0.022859
2.9,2.8,3.0,1.040328,0.0011155,-0.0011155,0.023559,-0.023559
3.1,3.0,3.2,1.047113,0.0012962,-0.0012962,0.023615,-0.023615
3.4000000000000004,3.2,3.6,1.055621,0.00112,-0.00112,0.022967,-0.022967
3.8,3.6,4.0,1.059961,0.0014537,-0.0014537,0.022871,-0.022871
4.5,4.0,5.0,1.052712,0.0013408,-0.0013408,0.022161,-0.022161
5.5,5.0,6.0,1.03436,0.0021914,-0.0021914,0.018863,-0.018863
7.0,6.0,8.0,1.005582,0.0026963,-0.0026963,0.019093,-0.019093
9.0,8.0,10.0,0.970626,0.0050909,-0.0050909,0.019873,-0.019873
11.5,10.0,13.0,0.958125,0.0076192,-0.0076192,0.030508,-0.030508
16.5,13.0,20.0,0.930689,0.011316,-0.011316,0.041998,-0.041998
25.0,20.0,30.0,0.958177,0.029559,-0.029559,0.050786,-0.050786
40.0,30.0,50.0,1.004444,0.071422,-0.071422,0.079095,-0.079095

