#Centrality_min, Centrality_max, dN/dy, Stat. Uncert., Syst. Uncert., 〈pT〉, Stat. Uncert. ,Syst. Uncert.
0,5,   273.41 ,0.35 ,11.62, 0.9177, 0.0009, 0.0140
5,10,  222.48 ,0.54 ,9.37 ,0.9214 ,0.0018 ,0.0130
10,20, 168.16 ,0.24 ,6.89 ,0.9193 ,0.0010 ,0.0126
20,30, 114.70 ,0.15 ,4.67 ,0.9052 ,0.0008 ,0.0114
30,40, 75.00  ,0.09 ,2.96 ,0.8919 ,0.0008 ,0.0106
40,50, 46.36  ,0.06 ,1.88 ,0.8685 ,0.0009 ,0.0113
50,60, 26.38  ,0.05 ,1.09 ,0.8369 ,0.0011 ,0.0132
60,70, 13.38  ,0.03 ,0.64 ,0.8165 ,0.0015 ,0.0138
70,80, 6.01   ,0.02 ,0.30 ,0.7881 ,0.0019 ,0.0160
80,90, 2.27   ,0.01 ,0.12 ,0.7541 ,0.0032 ,0.0179
