#Centrality_min, Centrality_max, dN/dy, Stat. Uncert., Syst. Uncert., 〈pT〉, Stat. Uncert. ,Syst. Uncert.
0,5, 74.56, 0.06, 3.75, 1.4482, 0.0007, 0.0244
5,10, 61.51, 0.07, 2.93, 1.4334, 0.0009, 0.0224
10,20, 47.40, 0.04, 2.20, 1.4143, 0.0007, 0.0216
20,30, 33.17, 0.04, 1.50, 1.3768, 0.0008, 0.0199
30,40, 22.51, 0.03, 1.01, 1.3209, 0.0010, 0.0177
40,50, 14.46, 0.02, 0.66, 1.2570, 0.0012, 0.0179
50,60, 8.71 ,0.02 ,0.40 ,1.1822 ,0.0016 ,0.0151
60,70, 4.74 ,0.01 ,0.27 ,1.1004 ,0.0022 ,0.0184
70,80, 2.30 ,0.01 ,0.14 ,1.0181 ,0.0030 ,0.0221
80,90, 0.92 ,0.01 ,0.06 ,0.9464 ,0.0053 ,0.0277
